id_jogo,nome,data_lancamento,desenvolvedor,publicadora,generos,categorias,plataformas,preco,moeda,jogadores_atuais
1086940,Baldur's Gate 3,"Aug 3, 2023",Larian Studios,Larian Studios,"Adventure, RPG, Strategy","Single-player, Multi-player, Co-op, Online Co-op, LAN Co-op, Cross-Platform Multiplayer, Steam Achievements, Full controller support, Steam Trading Cards, Adjustable Text Size, Camera Comfort, Color Alternatives, Custom Volume Controls, Adjustable Difficulty, Playable without Timed Input, Save Anytime, Stereo Sound, Subtitle Options, Surround Sound, Steam Cloud, Remote Play on TV, Remote Play Together, Family Sharing","windows, mac",59.99,USD,
552990,World of Warships,"15 Nov, 2017",Wargaming Group Limited,Wargaming Group Limited,"Action, Massively Multiplayer, Simulation, Strategy, Free To Play","Multi-player, MMO, PvP, Online PvP, Co-op, Online Co-op, Steam Achievements, Steam Trading Cards, In-App Purchases, Steam Cloud",windows,0.0,FREE,
444090,Paladins®,"8 May, 2018",Evil Mojo Games,Hi-Rez Studios,"Action, Adventure, Massively Multiplayer, Strategy, Free To Play","Multi-player, PvP, Online PvP, Cross-Platform Multiplayer, Steam Achievements, Full controller support, Steam Trading Cards, In-App Purchases, Remote Play on Phone, Remote Play on Tablet",windows,0.0,FREE,
227940,Heroes & Generals,"Oct 18, 2016",TLM Partners,TLM Partners,"Action, Free To Play, Indie, Massively Multiplayer, Strategy","Multi-player, MMO, PvP, Online PvP, Co-op, Online Co-op, In-App Purchases, Stats, Family Sharing",windows,0.0,FREE,
386360,SMITE®,"8 Sep, 2015",Titan Forge Games,Hi-Rez Studios,"Action, Adventure, Casual, Massively Multiplayer, RPG, Strategy, Free To Play","Multi-player, Steam Achievements, Full controller support, Steam Trading Cards, In-App Purchases",windows,0.0,FREE,
444200,World of Tanks Blitz,"9 Nov, 2016",Wargaming Group Limited,Wargaming Group Limited,"Action, Massively Multiplayer, Simulation, Strategy, Free To Play","Multi-player, MMO, PvP, Online PvP, Co-op, Online Co-op, Cross-Platform Multiplayer, Steam Trading Cards, In-App Purchases","windows, mac",0.0,FREE,
3164500,Schedule I,"24 Mar, 2025",TVGS,TVGS,"Action, Indie, Simulation, Strategy, Early Access","Single-player, Multi-player, Co-op, Online Co-op, Steam Achievements, Adjustable Text Size, Camera Comfort, Custom Volume Controls, Save Anytime, Stereo Sound, Steam Cloud, Family Sharing",windows,59.99,BRL,
322330,Don't Starve Together,"21 Apr, 2016",Klei Entertainment,Klei Entertainment,"Action, Adventure, Indie, RPG, Simulation, Strategy","Single-player, Multi-player, PvP, Online PvP, LAN PvP, Co-op, Online Co-op, LAN Co-op, Full controller support, Steam Trading Cards, Steam Workshop, In-App Purchases, Remote Play on Phone, Remote Play on Tablet, Remote Play on TV, Family Sharing","windows, mac, linux",9.51,BRL,
251570,7 Days to Die,"Jul 25, 2024",The Fun Pimps,The Fun Pimps Entertainment LLC,"Action, Adventure, Indie, RPG, Simulation, Strategy","Single-player, Multi-player, PvP, Online PvP, LAN PvP, Co-op, Online Co-op, LAN Co-op, Cross-Platform Multiplayer, Steam Achievements, Full controller support, Steam Trading Cards, Includes level editor, Remote Play on Tablet, Remote Play on TV, Family Sharing","windows, mac, linux",44.99,USD,
107410,Arma 3,"Sep 12, 2013",Bohemia Interactive,Bohemia Interactive,"Action, Simulation, Strategy","Single-player, Multi-player, PvP, Online PvP, LAN PvP, Co-op, Online Co-op, LAN Co-op, Steam Achievements, Steam Trading Cards, Captions available, Steam Workshop, Steam Leaderboards, Includes level editor","windows, mac",4.79,USD,
255710,Cities: Skylines,"Mar 10, 2015",Colossal Order Ltd.,Paradox Interactive,"Simulation, Strategy","Single-player, Steam Achievements, Steam Trading Cards, Steam Workshop, Steam Cloud, Includes level editor, Remote Play on Tablet, Family Sharing","windows, mac, linux",29.99,USD,
261550,Mount & Blade II: Bannerlord,"25 Oct, 2022",TaleWorlds Entertainment,TaleWorlds Entertainment,"Action, Indie, RPG, Simulation, Strategy","Single-player, Multi-player, PvP, Online PvP, Steam Achievements, Steam Trading Cards, Steam Workshop, Partial Controller Support, Steam Cloud, Includes level editor, Remote Play on Tablet, Family Sharing",windows,199.99,BRL,
8930,Sid Meier's Civilization® V,"23 Sep, 2010",Firaxis Games,2K,Strategy,"Single-player, Multi-player, Steam Achievements, Steam Trading Cards, Steam Cloud, Remote Play on Tablet, Family Sharing","windows, mac, linux",44.99,BRL,
289070,Sid Meier’s Civilization® VI,"20 Oct, 2016",Firaxis Games,2K,Strategy,"Single-player, Multi-player, PvP, Online PvP, LAN PvP, Shared/Split Screen PvP, Shared/Split Screen, Cross-Platform Multiplayer, Steam Achievements, Steam Trading Cards, Steam Workshop, In-App Purchases, Steam Turn Notifications, Remote Play on Tablet, Remote Play Together, Family Sharing","windows, mac, linux",129.0,BRL,
2186680,"Warhammer 40,000: Rogue Trader","7 Dec, 2023",Owlcat Games,Owlcat Games,"Adventure, Indie, RPG, Strategy","Single-player, Multi-player, Co-op, Online Co-op, Cross-Platform Multiplayer, Steam Achievements, Steam Trading Cards, Steam Workshop, Partial Controller Support, Steam Cloud, Family Sharing","windows, mac",124.99,BRL,
526870,Satisfactory,"10 Sep, 2024",Coffee Stain Studios,Coffee Stain Publishing,"Adventure, Indie, Simulation, Strategy","Single-player, Multi-player, Co-op, Online Co-op, Cross-Platform Multiplayer, Steam Achievements, Adjustable Text Size, Camera Comfort, Color Alternatives, Custom Volume Controls, Adjustable Difficulty, Playable without Timed Input, Save Anytime, Stereo Sound, Surround Sound, Partial Controller Support, Steam Cloud, Remote Play on Tablet, Family Sharing",windows,107.99,BRL,
394360,Hearts of Iron IV,"6 Jun, 2016",Paradox Development Studio,Paradox Interactive,"Simulation, Strategy","Single-player, Multi-player, Co-op, Cross-Platform Multiplayer, Steam Achievements, Steam Trading Cards, Steam Workshop, Steam Cloud, Remote Play on Tablet, Family Sharing","windows, mac, linux",179.99,BRL,
582660,Black Desert,"15 Nov, 2017",Pearl Abyss,Pearl Abyss,"Action, Adventure, Massively Multiplayer, RPG, Simulation, Strategy","Multi-player, MMO, PvP, Online PvP, Co-op, Online Co-op, Steam Trading Cards, In-App Purchases, Partial Controller Support",windows,17.46,BRL,
1046930,Dota Underlords,"20 Jun, 2019",Valve,Valve,"Casual, Strategy, Free To Play","Single-player, Multi-player, PvP, Online PvP, Cross-Platform Multiplayer, Color Alternatives, Custom Volume Controls, Keyboard Only Option, Mouse Only Option, Playable without Timed Input, Stereo Sound, Surround Sound, Touch Only Option, Partial Controller Support, Steam Cloud, Remote Play on Phone, Remote Play on Tablet","windows, mac, linux",0.0,FREE,
268500,XCOM® 2,"4 Feb, 2016",Firaxis Games,2K,Strategy,"Single-player, Steam Achievements, Steam Trading Cards, Steam Workshop, Steam Cloud, Remote Play on Tablet, Family Sharing","windows, mac, linux",99.9,BRL,
236850,Europa Universalis IV,"Aug 13, 2013",Paradox Development Studio,Paradox Interactive,"Simulation, Strategy","Single-player, Multi-player, PvP, Online PvP, Co-op, Online Co-op, Cross-Platform Multiplayer, Steam Achievements, Steam Trading Cards, Steam Workshop, Steam Cloud, Family Sharing","windows, mac, linux",49.99,USD,
363970,Clicker Heroes,"13 May, 2015",Playsaurus,Playsaurus,"Adventure, Casual, Indie, RPG, Simulation, Strategy, Free To Play","Single-player, Steam Achievements, Steam Trading Cards, In-App Purchases, Steam Cloud, Stats","windows, mac",0.0,FREE,
